Etapa,Total de Pastas,Pastas com Arquivo,Diferença,Pastas Vazias,Pastas c/ Arquivos,Últ. Atualização
Planilha de Reavaliação,1,1,0,Nenhuma,REAVALIAÇÃO,13/06/2025
Bradesco - Arquivo de Cadastro/Faturamento,2,2,0,Nenhuma,"CNA ,MPD",13/06/2025
Bradesco - Base Aberta de Sinistro,2,2,0,Nenhuma,"CNA ,MPD",02/06/2025
Bradesco - Relatório Gerencial de Sinistralidade,2,2,0,Nenhuma,"CNA ,MPD",06/06/2025
Seguros Unimed - Arquivo de Cadastro/Faturamento,1,1,0,Nenhuma,FCTH,10/06/2025
Seguros Unimed - Base Aberta de Sinistro,1,1,0,Nenhuma,FCTH,11/06/2025
Seguros Unimed - Relatório Gerencial de Sinistralidade,1,1,0,Nenhuma,FCTH,10/06/2025
Bradesco (manual) - Relatório Gerencial de Sinistralidade,6,6,0,Nenhuma,"ASTORIA ,BRUKER ,ENERGIS8 ,FRAGON ,NINECON ,RD_ADS",11/06/2025
SulAmérica - Arquivo de Cadastro/Faturamento,7,7,0,Nenhuma,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",11/06/2025
SulAmérica - Base Aberta de Sinistro,7,7,0,Nenhuma,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",12/06/2025
SulAmérica - Relatório Gerencial de Sinistralidade,7,7,0,Nenhuma,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",13/06/2025
Unimed Nacional - Arquivo de Cadastro/Faturamento,1,1,0,Nenhuma,GUINDASTES_TATUAPE,11/06/2025
Unimed Nacional - Base Aberta de Sinistro,1,1,0,Nenhuma,GUINDASTES_TATUAPE,13/06/2025
Unimed Nacional - Relatório Gerencial de Sinistralidade,1,1,0,Nenhuma,GUINDASTES_TATUAPE,09/06/2025
Porto Seguro - Arquivo de Cadastro/Faturamento,21,21,0,Nenhuma,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",18/06/2025
Porto Seguro - Base Aberta de Sinistro,21,21,0,Nenhuma,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",17/06/2025
Porto Seguro - Relatório Gerencial de Sinistralidade,21,21,0,Nenhuma,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",13/06/2025
Omint - Arquivo de Cadastro/Faturamento,1,1,0,Nenhuma,SIMOES_PIRES,16/06/2025
Omint - Base Aberta de Sinistro,1,1,0,Nenhuma,SIMOES_PIRES,16/06/2025
Omint - Relatório Gerencial de Sinistralidade,1,1,0,Nenhuma,SIMOES_PIRES,17/06/2025
Omint (manual) - Relatório Gerencial de Sinistralidade,4,4,0,Nenhuma,"ADVANTECH_BRASIL ,BRAVO_PROJETOS ,CARLSONS_PRODUTO ,NEGRAO_FERRARI",17/06/2025
Hapvida - Arquivo de Cadastro/Faturamento,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Hapvida - Base Aberta de Sinistro,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Hapvida - Relatório Gerencial de Sinistralidade,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Plena Saúde - Arquivo de Cadastro/Faturamento,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
Plena Saúde - Base Aberta de Sinistro,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
Plena Saúde - Relatório Gerencial de Sinistralidade,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
